alpha,beta,c_din,c_tot,c_alpha,c_beta
-20.0000000,-20.0000000,0.4991890,-0.8172487,-1.8839060,-2.1976030
-20.0000000,-15.0000000,0.5166393,-0.5933644,-1.9311100,-1.6506320
-20.0000000,-10.0000000,0.5261260,-0.4616112,-1.9915220,-1.1391500
-20.0000000,-5.0000000,0.5562210,-0.3401564,-1.9488100,-0.5948796
-20.0000000,0.0000000,0.5750791,-0.2819153,-1.8956000,-0.0767810
-20.0000000,5.0000000,0.5744509,-0.2913970,-1.8981540,0.4007493
-20.0000000,10.0000000,0.5717864,-0.3475337,-1.9125680,0.8919823
-20.0000000,15.0000000,0.5658491,-0.4620971,-1.9376240,1.4117310
-20.0000000,20.0000000,0.5486651,-0.6577241,-1.9774940,1.9475750
-18.0000000,-20.0000000,0.5103368,-0.7113758,-1.6618390,-2.1279400
-18.0000000,-15.0000000,0.5203597,-0.5162612,-1.7280520,-1.6001370
-18.0000000,-10.0000000,0.5375403,-0.3644977,-1.7712700,-1.1004400
-18.0000000,-5.0000000,0.5574807,-0.2680860,-1.7708480,-0.6006690
-18.0000000,0.0000000,0.5781910,-0.2097387,-1.7100120,-0.0915822
-18.0000000,5.0000000,0.5796317,-0.2121116,-1.6964780,0.3975605
-18.0000000,10.0000000,0.5777995,-0.2670272,-1.7064690,0.8915546
-18.0000000,15.0000000,0.5760232,-0.3788984,-1.7310780,1.4014740
-18.0000000,20.0000000,0.5642734,-0.5574402,-1.7583330,1.9009320
-15.0000000,-20.0000000,0.5229517,-0.5778991,-1.3467610,-2.0468660
-15.0000000,-15.0000000,0.5320240,-0.3919450,-1.4079310,-1.5515620
-15.0000000,-10.0000000,0.5451553,-0.2517734,-1.4496830,-1.0452710
-15.0000000,-5.0000000,0.5601682,-0.1661033,-1.4705270,-0.5638161
-15.0000000,0.0000000,0.5759771,-0.1158332,-1.4358990,-0.0629711
-15.0000000,5.0000000,0.5798554,-0.1161137,-1.4174120,0.4285937
-15.0000000,10.0000000,0.5838685,-0.1658849,-1.4201770,0.9111713
-15.0000000,15.0000000,0.5943354,-0.2633171,-1.4104080,1.4006450
-15.0000000,20.0000000,0.5814771,-0.4372209,-1.4237100,1.8948970
-10.0000000,-20.0000000,0.5240044,-0.4674351,-0.8865287,-2.0231400
-10.0000000,-15.0000000,0.5412080,-0.2733751,-0.9339088,-1.5003460
-10.0000000,-10.0000000,0.5513821,-0.1390406,-0.9783622,-1.0118090
-10.0000000,-5.0000000,0.5584840,-0.0617875,-1.0010250,-0.5299536
-10.0000000,0.0000000,0.5592701,-0.0457144,-1.0090640,-0.0647300
-10.0000000,5.0000000,0.5668885,-0.0400169,-0.9923116,0.4640056
-10.0000000,10.0000000,0.5813619,-0.0823733,-1.0087870,0.9569465
-10.0000000,15.0000000,0.5974045,-0.1690971,-0.9708722,1.4046080
-10.0000000,20.0000000,0.5880328,-0.3299103,-0.9718458,1.8791590
-5.0000000,-20.0000000,0.5290700,-0.3861129,-0.3688387,-2.0195780
-5.0000000,-15.0000000,0.5466947,-0.1966233,-0.4138678,-1.5013370
-5.0000000,-10.0000000,0.5478428,-0.0913400,-0.4501672,-1.0364620
-5.0000000,-5.0000000,0.5463165,-0.0404762,-0.4869253,-0.5441553
-5.0000000,0.0000000,0.5570959,-0.0143977,-0.4941072,-0.0428922
-5.0000000,5.0000000,0.5598360,-0.0086161,-0.4972355,0.4463420
-5.0000000,10.0000000,0.5719443,-0.0325546,-0.5170066,0.9371208
-5.0000000,15.0000000,0.5865296,-0.1110573,-0.5129888,1.3941070
-5.0000000,20.0000000,0.5910789,-0.2375545,-0.4982776,1.8423310
0.0000000,-20.0000000,0.5203005,-0.3757406,0.1065156,-1.9783670
0.0000000,-15.0000000,0.5365008,-0.1939583,0.0682653,-1.4680790
0.0000000,-10.0000000,0.5411126,-0.0853636,0.0314770,-0.9812509
0.0000000,-5.0000000,0.5460468,-0.0402431,0.0006747,-0.4950715
0.0000000,0.0000000,0.5702634,0.0195405,0.0022035,-0.0034968
0.0000000,5.0000000,0.5628688,0.0096637,-0.0047804,0.4834539
0.0000000,10.0000000,0.5694246,-0.0124916,-0.0408878,0.9662017
0.0000000,15.0000000,0.5867237,-0.0803759,-0.0459054,1.4278860
0.0000000,20.0000000,0.5901579,-0.2134117,-0.0364192,1.8843440
5.0000000,-20.0000000,0.5231821,-0.3952116,0.5543414,-1.9193370
5.0000000,-15.0000000,0.5321686,-0.2245392,0.5153850,-1.4419380
5.0000000,-10.0000000,0.5427573,-0.0987776,0.4983849,-0.9391859
5.0000000,-5.0000000,0.5432804,-0.0553064,0.4893800,-0.4572169
5.0000000,0.0000000,0.5485335,-0.0400607,0.4902103,0.0237855
5.0000000,5.0000000,0.5511552,-0.0430214,0.4726238,0.5031563
5.0000000,10.0000000,0.5651517,-0.0582647,0.4489637,0.9725188
5.0000000,15.0000000,0.5793653,-0.1344711,0.4095498,1.4275140
5.0000000,20.0000000,0.5761581,-0.2760435,0.4076847,1.8958960
10.0000000,-20.0000000,0.5198992,-0.4738972,1.0127680,-1.9156540
