,X,Y,Z,alpha,beta,p_static,velocity
0,-800.0,0.0,0.0,-1.1767981898973072,-0.6216567144206947,99110.97763112378,29.792280890637667
1,-700.0,0.0,0.0,-1.202694506593839,-0.6798910827449507,99116.83236341637,29.74885345467491
2,-600.0,0.0,0.0,-1.1443751051429303,-0.6821370920363905,99117.22799348652,29.78966487211478
3,-500.0,0.0,0.0,-1.2829604537912935,-0.5984056547867636,99122.20983837165,29.707499902119615
4,-400.0,0.0,0.0,-1.2358793280747886,-0.7158939989131231,99123.92906517413,29.751704750391937
5,-300.0,0.0,0.0,-1.2263768445507741,-0.6598600363160356,99124.58197389006,29.72765368258895
6,-200.0,0.0,0.0,-1.174937311301867,-0.7163931708096196,99124.14296398759,29.824512639182394
7,-100.0,0.0,0.0,-1.3230612659822691,-0.6121879501145333,99125.54901005219,29.756675881778847
8,0.0,0.0,0.0,-1.413664368328201,-0.593000487387269,99133.85758849795,29.614171623493043
9,100.0,0.0,0.0,-1.407884430592542,-0.6097289061267059,99131.62231631453,29.67697034700471
10,200.0,0.0,0.0,-1.493267720602109,-0.6592693395068818,99130.49661811515,29.717683203304972
11,300.0,0.0,0.0,-1.639869225532412,-0.6158167350063726,99135.21236480765,29.59193415522728
12,400.0,0.0,0.0,-1.4752502858571737,-0.5521894027266558,99137.09134723654,29.552049012973413
13,500.0,0.0,0.0,-1.4296428426326693,-0.7698201544901027,99140.74678871606,29.580647198344725
14,600.0,0.0,0.0,-1.4062347128043577,-0.7587415752148208,99141.61991401324,29.471189585109883
15,-800.0,-500.0,-300.0,-2.2922882143144805,-0.053205656668028484,99141.29723079568,29.81738614648138
16,-800.0,0.0,-300.0,-1.200564367901237,-0.9291593296128287,99146.0622827484,29.51961023927073
17,-800.0,500.0,-300.0,-2.337921255424995,-0.66287512878459,99142.536922294,29.87460680256843
18,-800.0,500.0,0.0,-2.18915113555316,-0.173486934494043,99145.37391577897,29.930633218297274
19,-800.0,0.0,0.0,-1.302640157849301,-0.7724933383879722,99144.95419904808,30.00614040117542
20,-800.0,-500.0,0.0,-2.056624746075099,-0.4373017460177374,99148.64603930754,29.805630296139157
21,-800.0,-500.0,300.0,-1.328894577571156,-0.6152399142161742,99142.28962086627,30.0640599772259
22,-800.0,0.0,300.0,-1.0612344358418393,-0.6377028669245008,99142.13135170689,30.02811567739838
23,-800.0,500.0,300.0,-1.6796377058962928,-0.6176096592893952,99141.08566210834,30.225288432955484
24,-800.0,0.0,-400.0,-6.5754909199488125,-0.41047419425187903,99134.17766390847,18.72555274331006
25,-800.0,0.0,-380.0,-2.3463431197128655,-0.03221935808084338,99145.33460823054,28.532582042556278
26,-800.0,0.0,-360.0,-0.6763615050470622,0.5781657799692642,99152.04629479672,29.309423585716488
27,-800.0,0.0,-340.0,-0.5275781977466154,0.5238993514177103,99157.69828288296,29.393771838771293
28,-800.0,0.0,-320.0,-0.9592065262355652,-0.3382474832725739,99156.0118329307,29.5586578657143
29,-800.0,0.0,320.0,-0.9748500297644479,-0.6360071363335312,99145.8072682508,30.1939222508309
30,-800.0,0.0,340.0,-1.1124848754204222,-0.6243829124857976,99148.31088345265,30.21408377336035
31,-800.0,0.0,360.0,-1.2936278600701114,-0.5540318927485123,99142.29833219267,30.217733502218046
32,-800.0,0.0,380.0,-0.806391641909936,-0.5391028541160502,99139.16684500648,30.137626458765748
33,-800.0,0.0,400.0,3.496441793595692,-0.4533998999112925,99134.48231924982,17.84031243976671
34,-800.0,-650.0,0.0,-2.5575532479152576,-6.580783888552516,99137.55807155136,18.360054417394245
35,-800.0,-630.0,0.0,-2.2224383646830534,-1.4846128778573877,99143.14040698088,30.070577448939133
