# Residuals   
# Time        	Ux            	Uy            	Uz            	p             
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	3.529964e-01	3.651033e-01	3.562974e-01	4.303858e-04
3             	4.795346e-01	4.101955e-01	2.764283e-01	7.684406e-05
4             	4.407387e-01	4.517619e-01	3.962296e-01	8.997240e-05
5             	5.366963e-01	5.474345e-01	5.559240e-01	7.545691e-04
6             	2.115552e-01	1.512548e-01	1.418731e-01	3.307125e-04
7             	1.507612e-01	1.275933e-01	1.261180e-01	2.391423e-04
8             	9.197050e-02	8.577702e-02	8.792120e-02	1.920613e-03
9             	1.372768e-01	9.223838e-02	9.777677e-02	3.687127e-04
10            	7.639691e-02	7.308073e-02	7.087261e-02	3.111146e-04
11            	5.184532e-02	7.482531e-02	6.447852e-02	2.046943e-03
12            	7.210607e-02	7.315378e-02	7.172616e-02	4.703597e-04
13            	4.788953e-02	5.952827e-02	5.773340e-02	4.273832e-04
14            	3.829989e-02	4.904335e-02	4.837770e-02	1.111553e-01
15            	4.568681e-02	4.995840e-02	5.148549e-02	4.597302e-04
16            	3.296622e-02	4.981931e-02	4.796121e-02	4.430472e-04
17            	2.617480e-02	4.493575e-02	4.314272e-02	1.969846e-03
18            	3.030809e-02	4.233860e-02	4.234407e-02	1.008505e-03
19            	2.580008e-02	4.124272e-02	4.093756e-02	1.273901e-03
20            	2.134952e-02	4.174555e-02	4.203046e-02	2.058183e-03
21            	2.212772e-02	4.325991e-02	4.405627e-02	7.126644e-04
22            	2.049412e-02	4.257135e-02	4.217657e-02	7.678457e-04
23            	1.813055e-02	3.980970e-02	3.914125e-02	1.735303e-03
24            	1.837023e-02	3.942229e-02	3.817528e-02	8.787115e-02
25            	1.772782e-02	4.075115e-02	3.899672e-02	9.406999e-03
26            	1.599703e-02	4.247195e-02	4.034447e-02	2.139687e-03
27            	1.570405e-02	4.262817e-02	4.027513e-02	1.293892e-03
28            	1.635971e-02	4.167881e-02	3.889235e-02	1.344674e-03
29            	1.586435e-02	4.126046e-02	3.787982e-02	1.686230e-03
30            	1.540480e-02	4.145832e-02	3.756718e-02	2.508505e-03
31            	1.533898e-02	4.254627e-02	3.814921e-02	3.018490e-03
32            	1.464264e-02	4.357302e-02	3.896603e-02	2.327096e-03
