# y+ ()       
# Time        	patch         	min           	max           	average       
0             	nozzle_int	1.036364e+00	1.634939e+01	2.991698e+00
0             	nozzle_ext	3.922179e+00	2.005972e+01	1.037437e+01
0             	collector_int	9.978762e-01	1.494767e+01	4.961929e+00
0             	collector_ext	2.734141e+00	2.065271e+01	1.068041e+01
0             	diffuser_int	1.085515e+00	1.648185e+01	5.019208e+00
0             	diffuser_ext	2.235518e+00	1.916348e+01	1.076146e+01
10            	nozzle_int	1.523977e+00	1.268737e+02	5.417177e+00
10            	nozzle_ext	3.030746e+00	3.181788e+02	1.341876e+01
10            	collector_int	1.889983e+00	1.044545e+02	1.463059e+01
10            	collector_ext	2.414877e+00	2.112377e+02	2.128677e+01
10            	diffuser_int	4.257778e+00	2.165342e+02	1.302782e+01
10            	diffuser_ext	8.533152e-01	2.117017e+02	1.346668e+01
20            	nozzle_int	1.192406e+00	4.013676e+02	1.998857e+01
20            	nozzle_ext	2.834467e+00	5.984903e+02	1.427528e+01
20            	collector_int	2.300758e+00	1.198061e+02	3.368951e+01
20            	collector_ext	1.956673e+00	1.902008e+02	2.571779e+01
20            	diffuser_int	3.647812e+00	2.119621e+02	2.747847e+01
20            	diffuser_ext	7.855305e-01	1.775299e+02	1.352044e+01
30            	nozzle_int	7.975108e-01	5.047772e+02	5.049470e+01
30            	nozzle_ext	2.703177e+00	8.412101e+02	1.419918e+01
30            	collector_int	2.875185e+00	2.113808e+02	6.001080e+01
30            	collector_ext	3.046065e+00	2.096987e+02	3.064252e+01
30            	diffuser_int	3.647666e+00	4.077180e+02	5.513120e+01
30            	diffuser_ext	7.085115e-01	1.803977e+02	1.364105e+01
40            	nozzle_int	6.519704e-01	3.843250e+02	6.301986e+01
40            	nozzle_ext	2.731843e+00	7.761703e+02	1.393124e+01
40            	collector_int	3.476925e+00	2.463588e+02	8.582981e+01
40            	collector_ext	4.718497e+00	2.418639e+02	3.610175e+01
40            	diffuser_int	4.574494e+00	4.578086e+02	8.560610e+01
40            	diffuser_ext	6.749130e-01	4.316896e+02	1.797502e+01
50            	nozzle_int	6.078380e-01	3.540062e+02	6.038610e+01
50            	nozzle_ext	2.816498e+00	7.053502e+02	1.355662e+01
50            	collector_int	7.339835e+00	3.008967e+02	1.058547e+02
50            	collector_ext	5.646790e+00	4.837121e+02	4.454921e+01
50            	diffuser_int	7.771671e+00	4.756034e+02	1.087507e+02
50            	diffuser_ext	1.001718e+00	5.787600e+02	2.482871e+01
60            	nozzle_int	6.032827e-01	3.236618e+02	5.433762e+01
60            	nozzle_ext	2.893037e+00	6.588709e+02	1.310269e+01
60            	collector_int	1.238651e+01	2.697742e+02	1.159678e+02
60            	collector_ext	7.154889e+00	4.691379e+02	5.251565e+01
60            	diffuser_int	1.285989e+01	3.879820e+02	1.160410e+02
60            	diffuser_ext	1.227702e+00	1.070023e+03	3.701531e+01
70            	nozzle_int	6.033876e-01	2.860425e+02	4.940965e+01
70            	nozzle_ext	2.973995e+00	5.898579e+02	1.274134e+01
70            	collector_int	1.895504e+01	2.411621e+02	1.136974e+02
70            	collector_ext	7.345914e+00	4.415195e+02	6.463079e+01
70            	diffuser_int	1.125628e+01	4.624343e+02	1.156339e+02
70            	diffuser_ext	1.275649e+00	1.292270e+03	4.766705e+01
80            	nozzle_int	6.034043e-01	2.531061e+02	4.592911e+01
80            	nozzle_ext	3.075410e+00	5.236561e+02	1.251944e+01
80            	collector_int	1.867337e+01	4.322864e+02	1.102733e+02
80            	collector_ext	7.902192e+00	4.321398e+02	7.892086e+01
80            	diffuser_int	1.286503e+01	3.621106e+02	1.150545e+02
80            	diffuser_ext	1.915364e+00	1.042383e+03	6.206805e+01
90            	nozzle_int	6.034300e-01	2.422486e+02	4.350888e+01
90            	nozzle_ext	3.227173e+00	4.702431e+02	1.243633e+01
90            	collector_int	1.847331e+01	4.279660e+02	1.218826e+02
90            	collector_ext	7.392494e+00	4.438992e+02	9.385458e+01
90            	diffuser_int	1.146074e+01	3.712588e+02	1.133644e+02
90            	diffuser_ext	2.475781e+00	8.446829e+02	7.563723e+01
100           	nozzle_int	6.034384e-01	2.403558e+02	4.178966e+01
100           	nozzle_ext	3.431014e+00	4.347782e+02	1.248615e+01
100           	collector_int	1.800099e+01	4.388059e+02	1.267611e+02
100           	collector_ext	8.149465e+00	5.186584e+02	1.091662e+02
100           	diffuser_int	1.433123e+01	4.436402e+02	1.142441e+02
100           	diffuser_ext	3.465911e+00	1.002856e+03	8.856460e+01
110           	nozzle_int	6.034401e-01	2.381661e+02	4.050542e+01
110           	nozzle_ext	3.667372e+00	4.054208e+02	1.265532e+01
110           	collector_int	1.153149e+01	4.453428e+02	1.231689e+02
110           	collector_ext	8.770493e+00	5.454322e+02	1.159730e+02
