# y+ ()       
# Time        	patch         	min           	max           	average       
0             	nozzle_int	0.000000e+00	0.000000e+00	0.000000e+00
0             	nozzle_ext	0.000000e+00	0.000000e+00	0.000000e+00
0             	collector_int	0.000000e+00	0.000000e+00	0.000000e+00
0             	collector_ext	0.000000e+00	0.000000e+00	0.000000e+00
0             	diffuser_int	0.000000e+00	0.000000e+00	0.000000e+00
0             	diffuser_ext	0.000000e+00	0.000000e+00	0.000000e+00
10            	nozzle_int	3.738954e+00	1.641055e+03	9.624855e+01
10            	nozzle_ext	8.479611e-04	5.265837e+01	2.618539e+00
10            	collector_int	4.464087e+00	6.268408e+02	1.126678e+02
10            	collector_ext	1.576180e-01	7.756609e+01	1.019291e+01
10            	diffuser_int	4.520644e+00	8.300117e+02	1.947896e+02
10            	diffuser_ext	5.537458e-03	8.348596e+01	2.757219e+00
20            	nozzle_int	5.195554e+00	1.390519e+03	6.525490e+01
20            	nozzle_ext	5.852082e-03	4.008795e+01	1.691512e+00
20            	collector_int	7.771288e+00	5.279877e+02	8.335940e+01
20            	collector_ext	2.620484e-01	1.038899e+02	1.053493e+01
20            	diffuser_int	5.853224e+00	4.200128e+02	1.117406e+02
20            	diffuser_ext	3.554689e-03	6.154308e+01	2.547606e+00
30            	nozzle_int	5.056461e+00	1.098981e+03	5.472259e+01
30            	nozzle_ext	3.193461e-03	5.332017e+01	1.339721e+00
30            	collector_int	7.789244e+00	6.902773e+02	1.036025e+02
30            	collector_ext	1.885396e-01	1.111105e+02	1.059774e+01
30            	diffuser_int	4.591097e+00	7.873295e+02	7.434830e+01
30            	diffuser_ext	1.106140e-02	1.239562e+02	6.515682e+00
40            	nozzle_int	3.676570e+00	9.101746e+02	5.224102e+01
40            	nozzle_ext	1.395288e-02	4.270896e+01	1.039800e+00
40            	collector_int	4.872814e+00	6.418262e+02	8.421323e+01
40            	collector_ext	1.838355e-02	9.126161e+01	1.095062e+01
40            	diffuser_int	3.589089e+00	7.468690e+02	6.623885e+01
40            	diffuser_ext	4.094767e-02	1.159043e+02	8.259556e+00
50            	nozzle_int	2.861281e+00	8.778987e+02	5.170160e+01
50            	nozzle_ext	7.595030e-03	2.075321e+01	9.351765e-01
50            	collector_int	1.520067e+00	5.890242e+02	6.504573e+01
50            	collector_ext	4.322627e-02	9.549788e+01	1.144329e+01
50            	diffuser_int	3.175940e+00	7.613934e+02	6.534171e+01
50            	diffuser_ext	3.932847e-02	1.043121e+02	9.130694e+00
60            	nozzle_int	2.588233e+00	8.832326e+02	5.158605e+01
60            	nozzle_ext	5.923947e-03	2.045619e+01	8.543619e-01
60            	collector_int	1.639787e+00	7.748337e+02	5.741964e+01
60            	collector_ext	1.058296e-01	9.395576e+01	1.002687e+01
60            	diffuser_int	3.435137e+00	6.452086e+02	6.183887e+01
60            	diffuser_ext	8.925934e-02	1.065264e+02	9.434193e+00
70            	nozzle_int	2.548789e+00	8.868160e+02	5.162793e+01
70            	nozzle_ext	2.024157e-03	2.076815e+01	7.784944e-01
