# Residuals   
# Time        	Ux            	Uy            	Uz            	p             
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	5.711016e-02	1.545927e-01	1.541548e-01	5.142104e-03
3             	4.369263e-01	3.648442e-01	3.442250e-01	1.652377e-05
4             	2.487048e-01	2.038368e-01	2.018947e-01	1.759332e-05
5             	5.102273e-02	9.304071e-02	9.072623e-02	7.793361e-04
6             	2.272555e-01	1.480933e-01	1.348515e-01	2.859832e-05
7             	2.004407e-01	1.532097e-01	1.523431e-01	2.920280e-05
8             	6.429841e-02	8.711822e-02	8.617072e-02	2.366140e-02
9             	1.443698e-01	1.051698e-01	9.516395e-02	3.174899e-05
10            	8.823741e-02	8.653476e-02	8.433503e-02	3.538751e-05
11            	3.994651e-02	6.234794e-02	6.089546e-02	2.000161e-03
12            	7.868729e-02	7.444953e-02	6.605274e-02	5.588328e-05
13            	5.488295e-02	6.830022e-02	6.410142e-02	6.264501e-05
14            	3.518373e-02	5.627013e-02	5.410510e-02	4.052661e-04
15            	5.123239e-02	6.007411e-02	5.700123e-02	6.075404e-05
16            	3.426771e-02	5.885366e-02	5.535729e-02	6.570078e-05
17            	2.602849e-02	5.138894e-02	4.937982e-02	7.292764e-04
18            	3.412570e-02	4.910201e-02	4.672468e-02	1.231785e-04
19            	2.689409e-02	5.008681e-02	4.778843e-02	1.526389e-04
20            	2.203667e-02	4.947121e-02	4.827439e-02	2.753272e-04
21            	2.451407e-02	5.087097e-02	4.850036e-02	7.467042e-05
22            	2.234352e-02	5.057624e-02	4.748656e-02	8.809569e-05
23            	1.946115e-02	4.754459e-02	4.476325e-02	3.627169e-04
24            	2.026185e-02	4.720030e-02	4.363626e-02	2.584178e-03
25            	1.932854e-02	4.897501e-02	4.515677e-02	1.308428e-02
26            	1.769841e-02	4.971374e-02	4.551189e-02	6.782608e-04
27            	1.783478e-02	4.958479e-02	4.495390e-02	4.002829e-04
28            	1.845201e-02	4.900758e-02	4.411435e-02	4.254509e-04
29            	1.753296e-02	4.896460e-02	4.359114e-02	6.360681e-04
30            	1.718195e-02	4.979924e-02	4.420548e-02	1.180887e-03
31            	1.717115e-02	5.085774e-02	4.538288e-02	1.310956e-03
32            	1.676004e-02	5.127744e-02	4.562468e-02	8.847218e-04
33            	1.647360e-02	5.125534e-02	4.508076e-02	6.089307e-04
34            	1.669474e-02	5.158464e-02	4.519346e-02	5.336268e-04
35            	1.649318e-02	5.230209e-02	4.625741e-02	5.827423e-04
36            	1.620834e-02	5.287740e-02	4.678698e-02	6.702120e-04
37            	1.609154e-02	5.335135e-02	4.676663e-02	7.375448e-04
38            	1.608546e-02	5.356297e-02	4.685906e-02	7.068453e-04
39            	1.602612e-02	5.405814e-02	4.739429e-02	6.119947e-04
40            	1.581148e-02	5.469094e-02	4.817515e-02	5.201425e-04
41            	1.564415e-02	5.482578e-02	4.860906e-02	5.012685e-04
42            	1.553554e-02	5.546971e-02	4.876267e-02	4.868712e-04
43            	1.556004e-02	5.594138e-02	4.898316e-02	4.721696e-04
44            	1.559870e-02	5.675266e-02	4.970054e-02	4.681352e-04
45            	1.555783e-02	5.751183e-02	5.035601e-02	4.758269e-04
46            	1.551323e-02	5.820939e-02	5.079556e-02	4.638623e-04
47            	1.548743e-02	5.885739e-02	5.127346e-02	4.477039e-04
48            	1.549753e-02	5.963743e-02	5.208291e-02	4.250155e-04
49            	1.556944e-02	5.993161e-02	5.289095e-02	3.999766e-04
50            	1.567181e-02	6.096783e-02	5.368405e-02	3.858647e-04
51            	1.579107e-02	6.272173e-02	5.449239e-02	3.791645e-04
52            	1.583354e-02	6.335927e-02	5.545268e-02	3.819098e-04
53            	1.590729e-02	6.438610e-02	5.665744e-02	3.846551e-04
54            	1.600860e-02	6.549940e-02	5.781384e-02	3.840348e-04
55            	1.607598e-02	6.673047e-02	5.890209e-02	3.779209e-04
56            	1.612774e-02	6.821824e-02	5.994437e-02	3.844310e-04
57            	1.609803e-02	6.899054e-02	6.110303e-02	3.888076e-04
58            	1.612851e-02	7.005549e-02	6.233890e-02	3.934170e-04
59            	1.621017e-02	7.139093e-02	6.351379e-02	3.805131e-04
60            	1.631618e-02	7.222767e-02	6.450304e-02	3.722284e-04
61            	1.636640e-02	7.264752e-02	6.519908e-02	3.658327e-04
62            	1.637031e-02	7.324718e-02	6.568515e-02	3.579549e-04
63            	1.637437e-02	7.342762e-02	6.560298e-02	3.493652e-04
64            	1.634783e-02	7.297806e-02	6.514158e-02	3.396407e-04
65            	1.628083e-02	7.235529e-02	6.442728e-02	3.301832e-04
66            	1.615604e-02	7.139008e-02	6.359759e-02	3.229375e-04
67            	1.594307e-02	7.050545e-02	6.281629e-02	3.189002e-04
68            	1.572717e-02	6.989905e-02	6.203338e-02	3.190507e-04
69            	1.542527e-02	6.920540e-02	6.112238e-02	3.049024e-04
70            	1.510008e-02	6.860074e-02	6.011137e-02	2.911063e-04
71            	1.472199e-02	6.804979e-02	5.912072e-02	2.747788e-04
72            	1.432368e-02	6.740989e-02	5.797907e-02	2.583850e-04
73            	1.393600e-02	6.681013e-02	5.680371e-02	2.430820e-04
74            	1.357782e-02	6.635336e-02	5.580126e-02	2.292267e-04
75            	1.324602e-02	6.590122e-02	5.487026e-02	2.168908e-04
76            	1.294490e-02	6.532008e-02	5.389365e-02	2.061907e-04
77            	1.264690e-02	6.471395e-02	5.301129e-02	1.947968e-04
78            	1.235589e-02	6.416939e-02	5.222190e-02	1.846100e-04
79            	1.208903e-02	6.368795e-02	5.160384e-02	1.756879e-04
80            	1.185590e-02	6.323247e-02	5.107470e-02	1.670309e-04
81            	1.163782e-02	6.268667e-02	5.051097e-02	1.584752e-04
82            	1.142432e-02	6.204443e-02	4.987633e-02	1.504785e-04
83            	1.140216e-02	6.089361e-02	4.872711e-02	1.450798e-04
84            	1.136347e-02	5.985263e-02	4.768310e-02	1.415236e-04
