# y+ ()       
# Time        	patch         	min           	max           	average       
0             	nozzle_int	0.000000e+00	0.000000e+00	0.000000e+00
0             	nozzle_ext	0.000000e+00	0.000000e+00	0.000000e+00
0             	collector_int	0.000000e+00	0.000000e+00	0.000000e+00
0             	collector_ext	0.000000e+00	0.000000e+00	0.000000e+00
0             	diffuser_int	0.000000e+00	0.000000e+00	0.000000e+00
0             	diffuser_ext	0.000000e+00	0.000000e+00	0.000000e+00
10            	nozzle_int	3.247632e+00	4.515524e+02	7.997553e+01
10            	nozzle_ext	4.262365e-04	1.039397e+02	2.198980e+00
10            	collector_int	3.886177e+00	3.196280e+02	9.175832e+01
10            	collector_ext	2.475069e-02	6.840009e+01	5.289793e+00
10            	diffuser_int	6.709561e+00	3.575266e+02	1.260554e+02
10            	diffuser_ext	4.673937e-03	8.964259e+01	2.246850e+00
20            	nozzle_int	2.252426e+00	4.123497e+02	6.092178e+01
20            	nozzle_ext	1.374910e-03	1.013148e+02	1.260392e+00
20            	collector_int	2.568275e+00	2.950249e+02	7.212547e+01
20            	collector_ext	8.935266e-03	6.030211e+01	5.335780e+00
20            	diffuser_int	5.412477e+00	4.336166e+02	1.000462e+02
20            	diffuser_ext	5.818880e-03	8.124215e+01	2.043449e+00
30            	nozzle_int	2.787534e+00	4.318107e+02	5.371080e+01
30            	nozzle_ext	5.459649e-03	5.616271e+01	1.100876e+00
30            	collector_int	2.456921e+00	2.673142e+02	6.242584e+01
30            	collector_ext	2.676473e-02	5.959884e+01	4.974801e+00
30            	diffuser_int	4.621210e+00	3.503072e+02	9.157678e+01
30            	diffuser_ext	2.718943e-03	7.945857e+01	2.137149e+00
40            	nozzle_int	3.365290e+00	4.391209e+02	4.981994e+01
40            	nozzle_ext	9.910723e-04	6.896742e+01	1.016208e+00
40            	collector_int	3.377624e+00	2.600317e+02	6.652235e+01
40            	collector_ext	2.091858e-02	3.996051e+01	4.547713e+00
40            	diffuser_int	4.151731e+00	2.884287e+02	8.350372e+01
40            	diffuser_ext	3.186151e-03	7.146943e+01	2.426956e+00
50            	nozzle_int	3.106586e+00	4.448860e+02	4.808284e+01
50            	nozzle_ext	2.105464e-03	6.454261e+01	9.388546e-01
50            	collector_int	4.397137e+00	2.246390e+02	9.185759e+01
50            	collector_ext	5.308892e-03	5.206746e+01	4.344055e+00
50            	diffuser_int	3.605567e+00	2.522986e+02	7.630659e+01
50            	diffuser_ext	3.801913e-03	6.211919e+01	2.499735e+00
60            	nozzle_int	3.253765e+00	4.503538e+02	4.736784e+01
60            	nozzle_ext	3.879592e-03	6.273179e+01	8.846557e-01
60            	collector_int	6.237068e+00	2.549102e+02	1.110788e+02
60            	collector_ext	2.331238e-02	6.356357e+01	4.454126e+00
60            	diffuser_int	3.435523e+00	2.238233e+02	6.804710e+01
60            	diffuser_ext	3.006745e-03	8.104685e+01	3.725231e+00
70            	nozzle_int	3.025900e+00	4.527003e+02	4.718481e+01
70            	nozzle_ext	2.648237e-03	6.133490e+01	8.355758e-01
