# Residuals   
# Time        	Ux            	Uy            	Uz            	p             
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	7.155273e-02	1.825030e-01	1.844652e-01	8.503504e-03
3             	3.713800e-01	3.386134e-01	3.218598e-01	3.585370e-05
4             	2.510448e-01	2.036706e-01	2.037696e-01	3.062106e-05
5             	6.162427e-02	1.187857e-01	1.137478e-01	2.016542e-04
6             	1.853613e-01	1.449640e-01	1.380579e-01	5.532135e-05
7             	1.845267e-01	1.499461e-01	1.533750e-01	4.878950e-05
8             	6.117932e-02	1.023621e-01	1.035881e-01	5.394676e-04
9             	1.272043e-01	1.003613e-01	9.753079e-02	7.271574e-05
10            	9.209195e-02	9.565190e-02	9.490670e-02	7.056510e-05
11            	4.372173e-02	7.513826e-02	7.648375e-02	2.717250e-04
12            	6.802020e-02	7.675293e-02	7.498556e-02	1.380444e-04
13            	6.003768e-02	7.356452e-02	7.345990e-02	1.237059e-04
14            	3.957807e-02	6.857571e-02	6.920968e-02	1.179805e-02
15            	4.613647e-02	7.328616e-02	7.481986e-02	1.079448e-04
16            	3.993210e-02	7.381436e-02	7.504969e-02	9.153183e-05
17            	3.236979e-02	6.842578e-02	6.684014e-02	3.113797e-04
18            	3.399852e-02	6.490177e-02	6.118132e-02	1.818055e-03
19            	3.100561e-02	6.720124e-02	6.344082e-02	1.644957e-03
20            	2.803644e-02	7.168996e-02	6.852511e-02	1.920676e-03
21            	2.662643e-02	7.258366e-02	6.890548e-02	5.799482e-04
22            	2.732186e-02	7.015032e-02	6.534045e-02	4.968173e-04
23            	2.719443e-02	6.885852e-02	6.237253e-02	6.608362e-04
24            	2.512931e-02	6.963350e-02	6.269147e-02	1.511070e-03
25            	2.421366e-02	7.342281e-02	6.575211e-02	1.812785e-03
26            	2.343494e-02	7.578055e-02	6.763004e-02	1.103264e-03
27            	2.262045e-02	7.419608e-02	6.588004e-02	6.958838e-04
28            	2.304801e-02	7.250759e-02	6.424241e-02	5.433646e-04
29            	2.273206e-02	7.227034e-02	6.412208e-02	5.479595e-04
30            	2.151977e-02	7.342658e-02	6.474894e-02	6.109765e-04
31            	2.083954e-02	7.436413e-02	6.458760e-02	7.039788e-04
32            	2.059918e-02	7.449227e-02	6.482566e-02	6.573813e-04
33            	2.050305e-02	7.392604e-02	6.511306e-02	5.624396e-04
34            	2.000495e-02	7.416879e-02	6.512445e-02	4.856982e-04
35            	1.944025e-02	7.557040e-02	6.568918e-02	4.619765e-04
36            	1.894716e-02	7.655861e-02	6.633979e-02	4.442543e-04
37            	1.878191e-02	7.676275e-02	6.664478e-02	4.359575e-04
38            	1.879840e-02	7.653158e-02	6.686082e-02	4.490162e-04
39            	1.863836e-02	7.701867e-02	6.727643e-02	4.389674e-04
40            	1.824252e-02	7.858836e-02	6.813669e-02	4.255226e-04
41            	1.785346e-02	8.013527e-02	6.899723e-02	4.140533e-04
42            	1.787053e-02	8.073017e-02	6.945693e-02	3.987034e-04
43            	1.830106e-02	8.031572e-02	6.938638e-02	3.815973e-04
44            	1.871507e-02	7.882456e-02	6.836045e-02	3.651974e-04
45            	1.848241e-02	7.871050e-02	6.850791e-02	3.491546e-04
46            	1.812577e-02	7.941466e-02	6.902247e-02	3.446284e-04
47            	1.794320e-02	7.921692e-02	6.917014e-02	3.372954e-04
48            	1.803641e-02	7.795046e-02	6.935124e-02	3.197077e-04
49            	1.802576e-02	7.676877e-02	6.912526e-02	2.960287e-04
50            	1.772642e-02	7.798850e-02	6.754077e-02	2.728536e-04
51            	1.723989e-02	7.753974e-02	6.746902e-02	2.497688e-04
52            	1.712113e-02	7.614649e-02	6.693658e-02	2.307871e-04
53            	1.724916e-02	7.490612e-02	6.493058e-02	2.198284e-04
54            	1.721967e-02	7.431734e-02	6.298354e-02	2.117062e-04
55            	1.683559e-02	7.412382e-02	6.301184e-02	2.029141e-04
56            	1.637806e-02	7.401404e-02	6.261932e-02	1.943819e-04
57            	1.604817e-02	7.338786e-02	6.200769e-02	1.890372e-04
58            	1.594605e-02	7.256162e-02	6.118727e-02	1.840949e-04
59            	1.583392e-02	7.151970e-02	6.128358e-02	1.764783e-04
60            	1.558832e-02	7.081452e-02	6.144483e-02	1.698723e-04
61            	1.525398e-02	7.017950e-02	6.115088e-02	1.653130e-04
62            	1.491087e-02	6.943593e-02	6.035171e-02	1.588009e-04
63            	1.463414e-02	6.985890e-02	5.898823e-02	1.471638e-04
64            	1.440083e-02	6.996665e-02	5.775069e-02	1.349170e-04
65            	1.409117e-02	6.859002e-02	5.698690e-02	1.247314e-04
66            	1.364768e-02	6.856210e-02	5.624494e-02	1.152530e-04
67            	1.316728e-02	6.880693e-02	5.528785e-02	1.061721e-04
68            	1.284049e-02	6.774830e-02	5.445938e-02	9.893487e-05
69            	1.255187e-02	6.771300e-02	5.350825e-02	9.263886e-05
70            	1.222248e-02	6.749392e-02	5.268119e-02	8.767131e-05
71            	1.183971e-02	6.564881e-02	5.198313e-02	8.419042e-05
72            	1.145456e-02	6.402037e-02	5.011123e-02	8.050699e-05
73            	1.109540e-02	6.259580e-02	4.930170e-02	7.691530e-05
74            	1.074059e-02	6.273355e-02	4.866927e-02	7.405151e-05
75            	1.040836e-02	6.145638e-02	4.701255e-02	7.109081e-05
