# y+ ()       
# Time        	patch         	min           	max           	average       
0             	nozzle_int	0.000000e+00	0.000000e+00	0.000000e+00
0             	nozzle_ext	0.000000e+00	0.000000e+00	0.000000e+00
0             	collector_int	0.000000e+00	0.000000e+00	0.000000e+00
0             	collector_ext	0.000000e+00	0.000000e+00	0.000000e+00
0             	diffuser_int	0.000000e+00	0.000000e+00	0.000000e+00
0             	diffuser_ext	0.000000e+00	0.000000e+00	0.000000e+00
10            	nozzle_int	4.861946e+00	6.392420e+02	9.224790e+01
10            	nozzle_ext	3.784225e-03	1.467577e+02	2.628997e+00
10            	collector_int	4.755936e+00	2.086863e+02	9.888063e+01
10            	collector_ext	6.046325e-02	8.153577e+01	8.404783e+00
10            	diffuser_int	8.539427e+00	5.782213e+02	1.553843e+02
10            	diffuser_ext	6.939740e-03	9.092205e+01	2.705485e+00
20            	nozzle_int	1.703670e+00	6.288156e+02	6.581933e+01
20            	nozzle_ext	3.773650e-03	1.196958e+02	1.794764e+00
20            	collector_int	3.708580e+00	2.137319e+02	6.577826e+01
20            	collector_ext	5.648977e-02	8.259147e+01	6.987949e+00
20            	diffuser_int	3.671740e+00	5.741993e+02	1.120813e+02
20            	diffuser_ext	8.237939e-03	8.866449e+01	2.844030e+00
30            	nozzle_int	3.011331e+00	6.540173e+02	5.444490e+01
30            	nozzle_ext	1.197047e-03	9.462731e+01	1.554504e+00
30            	collector_int	4.111684e+00	1.995024e+02	7.502385e+01
30            	collector_ext	2.522682e-02	5.890762e+01	5.980553e+00
30            	diffuser_int	3.811405e+00	3.893500e+02	8.646760e+01
30            	diffuser_ext	8.557280e-03	6.696566e+01	2.743096e+00
40            	nozzle_int	2.217130e+00	6.646108e+02	5.004851e+01
40            	nozzle_ext	5.573942e-03	9.459949e+01	1.389694e+00
40            	collector_int	5.965572e+00	3.461617e+02	1.053269e+02
40            	collector_ext	4.201130e-02	9.824510e+01	6.759192e+00
40            	diffuser_int	4.136832e+00	6.651872e+02	7.032848e+01
40            	diffuser_ext	5.968364e-03	1.054785e+02	4.647815e+00
50            	nozzle_int	1.875779e+00	6.675114e+02	4.873676e+01
50            	nozzle_ext	5.863184e-03	8.762157e+01	1.274476e+00
50            	collector_int	3.097517e+00	3.164552e+02	8.407783e+01
50            	collector_ext	4.767006e-02	8.489585e+01	7.906249e+00
50            	diffuser_int	2.846733e+00	5.754655e+02	6.211380e+01
50            	diffuser_ext	1.311162e-02	1.093941e+02	5.333791e+00
60            	nozzle_int	3.171886e+00	6.686101e+02	4.845630e+01
60            	nozzle_ext	1.062469e-02	8.586560e+01	1.198821e+00
60            	collector_int	3.858877e+00	1.620973e+02	7.698909e+01
60            	collector_ext	1.470604e-01	9.067671e+01	8.998984e+00
60            	diffuser_int	3.089353e+00	3.391802e+02	6.185989e+01
60            	diffuser_ext	1.015949e-02	1.091532e+02	5.743410e+00
70            	nozzle_int	2.626045e+00	6.668661e+02	4.842952e+01
70            	nozzle_ext	9.770494e-03	8.625622e+01	1.125185e+00
