Time,Ux,Uy,Uz,p
1,1.00E+00,1.00E+00,1.00E+00,1.00E+00
2,5.71E-02,1.55E-01,1.54E-01,5.14E-03
3,4.37E-01,3.65E-01,3.44E-01,1.65E-05
4,2.49E-01,2.04E-01,2.02E-01,1.76E-05
5,5.10E-02,9.30E-02,9.07E-02,7.79E-04
6,2.27E-01,1.48E-01,1.35E-01,2.86E-05
7,2.00E-01,1.53E-01,1.52E-01,2.92E-05
8,6.43E-02,8.71E-02,8.62E-02,2.37E-02
9,1.44E-01,1.05E-01,9.52E-02,3.17E-05
10,8.82E-02,8.65E-02,8.43E-02,3.54E-05
11,3.99E-02,6.23E-02,6.09E-02,2.00E-03
12,7.87E-02,7.44E-02,6.61E-02,5.59E-05
13,5.49E-02,6.83E-02,6.41E-02,6.26E-05
14,3.52E-02,5.63E-02,5.41E-02,4.05E-04
15,5.12E-02,6.01E-02,5.70E-02,6.08E-05
16,3.43E-02,5.89E-02,5.54E-02,6.57E-05
17,2.60E-02,5.14E-02,4.94E-02,7.29E-04
18,3.41E-02,4.91E-02,4.67E-02,1.23E-04
19,2.69E-02,5.01E-02,4.78E-02,1.53E-04
20,2.20E-02,4.95E-02,4.83E-02,2.75E-04
21,2.45E-02,5.09E-02,4.85E-02,7.47E-05
22,2.23E-02,5.06E-02,4.75E-02,8.81E-05
23,1.95E-02,4.75E-02,4.48E-02,3.63E-04
24,2.03E-02,4.72E-02,4.36E-02,2.58E-03
25,1.93E-02,4.90E-02,4.52E-02,1.31E-02
26,1.77E-02,4.97E-02,4.55E-02,6.78E-04
27,1.78E-02,4.96E-02,4.50E-02,4.00E-04
28,1.85E-02,4.90E-02,4.41E-02,4.25E-04
29,1.75E-02,4.90E-02,4.36E-02,6.36E-04
30,1.72E-02,4.98E-02,4.42E-02,1.18E-03
31,1.72E-02,5.09E-02,4.54E-02,1.31E-03
32,1.68E-02,5.13E-02,4.56E-02,8.85E-04
33,1.65E-02,5.13E-02,4.51E-02,6.09E-04
34,1.67E-02,5.16E-02,4.52E-02,5.34E-04
35,1.65E-02,5.23E-02,4.63E-02,5.83E-04
36,1.62E-02,5.29E-02,4.68E-02,6.70E-04
37,1.61E-02,5.34E-02,4.68E-02,7.38E-04
38,1.61E-02,5.36E-02,4.69E-02,7.07E-04
39,1.60E-02,5.41E-02,4.74E-02,6.12E-04
40,1.58E-02,5.47E-02,4.82E-02,5.20E-04
41,1.56E-02,5.48E-02,4.86E-02,5.01E-04
42,1.55E-02,5.55E-02,4.88E-02,4.87E-04
43,1.56E-02,5.59E-02,4.90E-02,4.72E-04
44,1.56E-02,5.68E-02,4.97E-02,4.68E-04
45,1.56E-02,5.75E-02,5.04E-02,4.76E-04
46,1.55E-02,5.82E-02,5.08E-02,4.64E-04
47,1.55E-02,5.89E-02,5.13E-02,4.48E-04
48,1.55E-02,5.96E-02,5.21E-02,4.25E-04
49,1.56E-02,5.99E-02,5.29E-02,4.00E-04
50,1.57E-02,6.10E-02,5.37E-02,3.86E-04
51,1.58E-02,6.27E-02,5.45E-02,3.79E-04
52,1.58E-02,6.34E-02,5.55E-02,3.82E-04
53,1.59E-02,6.44E-02,5.67E-02,3.85E-04
