"U:0","U:1","U:2","p","vtkValidPointMask","arc_length"
5.4166,0,0,448.93,1,0
5.4169,0,-9.5159e-08,448.93,1,0.0079999
5.4172,0,-1.4555e-07,448.93,1,0.016
5.4178,0,-2.0236e-07,448.93,1,0.024
5.4186,0,-2.6558e-07,448.93,1,0.032
5.4195,0,-3.288e-07,448.92,1,0.04
5.4208,0,-3.914e-07,448.92,1,0.048
5.4223,0,-4.5378e-07,448.91,1,0.056
5.4237,0,-5.1616e-07,448.9,1,0.064
5.4258,0,-5.7859e-07,448.89,1,0.072
5.4279,0,-6.4102e-07,448.88,1,0.08
5.4302,0,-7.036e-07,448.87,1,0.088
5.4329,0,-7.6682e-07,448.86,1,0.096
5.4357,0,-8.3004e-07,448.85,1,0.104
5.4387,0,-8.936e-07,448.83,1,0.112
5.442,0,-9.5766e-07,448.81,1,0.12
5.4454,0,-1.0217e-06,448.8,1,0.128
5.4492,0,-1.086e-06,448.78,1,0.136
5.4532,0,-1.1505e-06,448.75,1,0.144
5.4572,0,-1.2149e-06,448.73,1,0.152
5.4618,0,-1.2793e-06,448.71,1,0.16
5.4664,0,-1.3436e-06,448.69,1,0.168
5.4711,0,-1.4079e-06,448.66,1,0.176
5.4764,0,-1.4718e-06,448.63,1,0.184
5.4818,0,-1.5357e-06,448.6,1,0.192
5.4873,0,-1.5996e-06,448.58,1,0.2
5.4932,0,-1.6632e-06,448.54,1,0.208
5.4992,0,-1.7268e-06,448.51,1,0.216
5.5055,0,-1.7903e-06,448.48,1,0.224
5.5122,0,-1.8539e-06,448.44,1,0.232
5.5189,0,-1.9174e-06,448.41,1,0.24
5.526,0,-1.9812e-06,448.37,1,0.248
5.5334,0,-2.0451e-06,448.33,1,0.256
5.5408,0,-2.109e-06,448.29,1,0.264
5.5487,0,-2.1736e-06,448.25,1,0.272
5.5568,0,-2.2383e-06,448.2,1,0.28
5.5649,0,-2.3031e-06,448.16,1,0.288
5.5737,0,-2.369e-06,448.11,1,0.296
5.5825,0,-2.4349e-06,448.06,1,0.304
5.5915,0,-2.5012e-06,448.01,1,0.312
5.6011,0,-2.5685e-06,447.96,1,0.32
5.6106,0,-2.6358e-06,447.91,1,0.328
5.6205,0,-2.7038e-06,447.85,1,0.336
5.6308,0,-2.7727e-06,447.8,1,0.344
5.6411,0,-2.8415e-06,447.74,1,0.352
5.6519,0,-2.9114e-06,447.68,1,0.36
5.663,0,-2.9818e-06,447.62,1,0.368
5.674,0,-3.0522e-06,447.56,1,0.376
5.6858,0,-3.1239e-06,447.49,1,0.384
5.6977,0,-3.1957e-06,447.42,1,0.392
5.7096,0,-3.2676e-06,447.36,1,0.4
5.7223,0,-3.3407e-06,447.29,1,0.408
5.7349,0,-3.4137e-06,447.21,1,0.416
5.7479,0,-3.4871e-06,447.14,1,0.424
5.7614,0,-3.5614e-06,447.06,1,0.432
5.7749,0,-3.6357e-06,446.99,1,0.44
5.7889,0,-3.7106e-06,446.91,1,0.448
5.8032,0,-3.786e-06,446.83,1,0.456
5.8176,0,-3.8615e-06,446.74,1,0.464
5.8326,0,-3.9377e-06,446.66,1,0.472
5.8479,0,-4.0143e-06,446.57,1,0.48
5.8632,0,-4.0909e-06,446.48,1,0.488
5.8793,0,-4.1686e-06,446.39,1,0.496
5.8955,0,-4.2463e-06,446.29,1,0.504
5.9118,0,-4.3242e-06,446.2,1,0.512
5.9289,0,-4.403e-06,446.1,1,0.52
5.946,0,-4.4818e-06,446,1,0.528
5.9635,0,-4.561e-06,445.89,1,0.536
5.9816,0,-4.641e-06,445.79,1,0.544
