"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.138,0,0.70486,-0.32683,1,0,0.6,0,-1
0.1387,0,0.70669,-0.32816,1,0.002,0.6,0,-0.998
0.13939,0,0.70853,-0.32949,1,0.004,0.6,0,-0.996
0.14009,0,0.71036,-0.33082,1,0.006,0.6,0,-0.994
0.14078,0,0.71219,-0.33215,1,0.008,0.6,0,-0.992
0.14148,0,0.71403,-0.33349,1,0.01,0.6,0,-0.99
0.14217,0,0.71586,-0.33482,1,0.012,0.6,0,-0.988
0.14287,0,0.71769,-0.33615,1,0.014,0.6,0,-0.986
0.14356,0,0.71953,-0.33748,1,0.016,0.6,0,-0.984
0.14426,0,0.72136,-0.33881,1,0.018,0.6,0,-0.982
0.14495,0,0.72319,-0.34014,1,0.02,0.6,0,-0.98
0.14565,0,0.72502,-0.34147,1,0.022,0.6,0,-0.978
0.14635,0,0.72686,-0.3428,1,0.024,0.6,0,-0.976
0.14704,0,0.72869,-0.34413,1,0.026,0.6,0,-0.974
0.14774,0,0.73052,-0.34546,1,0.028,0.6,0,-0.972
0.14843,0,0.73236,-0.34679,1,0.03,0.6,0,-0.97
0.14913,0,0.73419,-0.34812,1,0.032,0.6,0,-0.968
0.14982,0,0.73602,-0.34946,1,0.034,0.6,0,-0.966
0.15052,0,0.73786,-0.35079,1,0.036,0.6,0,-0.964
0.15121,0,0.73969,-0.35212,1,0.038,0.6,0,-0.962
0.15191,0,0.74152,-0.35345,1,0.04,0.6,0,-0.96
0.1526,0,0.74335,-0.35478,1,0.042,0.6,0,-0.958
0.1533,0,0.74519,-0.35611,1,0.044,0.6,0,-0.956
0.15399,0,0.74702,-0.35744,1,0.046,0.6,0,-0.954
0.15469,0,0.74885,-0.35877,1,0.048,0.6,0,-0.952
0.15538,0,0.75069,-0.3601,1,0.05,0.6,0,-0.95
0.15608,0,0.75252,-0.36143,1,0.052,0.6,0,-0.948
0.15677,0,0.75435,-0.36276,1,0.054,0.6,0,-0.946
0.15747,0,0.75619,-0.3641,1,0.056,0.6,0,-0.944
0.15816,0,0.75802,-0.36543,1,0.058,0.6,0,-0.942
0.15886,0,0.75985,-0.36676,1,0.06,0.6,0,-0.94
0.15955,0,0.76168,-0.36809,1,0.062,0.6,0,-0.938
0.16025,0,0.76352,-0.36942,1,0.064,0.6,0,-0.936
0.16094,0,0.76535,-0.37075,1,0.066,0.6,0,-0.934
0.16224,0,0.76699,-0.37212,1,0.068,0.6,0,-0.932
0.16418,0,0.76843,-0.37354,1,0.07,0.6,0,-0.93
0.16612,0,0.76987,-0.37496,1,0.072,0.6,0,-0.928
0.16806,0,0.77131,-0.37638,1,0.074,0.6,0,-0.926
0.17,0,0.77275,-0.37779,1,0.076,0.6,0,-0.924
0.17194,0,0.77419,-0.37921,1,0.078,0.6,0,-0.922
0.17388,0,0.77562,-0.38063,1,0.08,0.6,0,-0.92
0.17583,0,0.77706,-0.38205,1,0.082,0.6,0,-0.918
0.17777,0,0.7785,-0.38346,1,0.084,0.6,0,-0.916
0.17971,0,0.77994,-0.38488,1,0.086,0.6,0,-0.914
