"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.0798e-06,-5.8551e-07,5.2522e-05,0,1,0,-2.4,0,-2
0.0021878,-8.8069e-38,0.031746,-0.0030499,1,0.0039999,-2.4,0,-1.996
0.0026323,-8.7483e-38,0.033762,-0.0032505,1,0.008,-2.4,0,-1.992
0.0030767,-1.3093e-37,0.035777,-0.0034511,1,0.012,-2.4,0,-1.988
0.0035212,-1.7438e-37,0.037792,-0.0036518,1,0.016,-2.4,0,-1.984
0.0039656,2.1782e-37,0.039808,-0.0038524,1,0.02,-2.4,0,-1.98
0.0044101,-1.3064e-37,0.041823,-0.004053,1,0.024,-2.4,0,-1.976
0.0048546,-3.0472e-37,0.043839,-0.0042536,1,0.028,-2.4,0,-1.972
0.005299,-1.7408e-37,0.045854,-0.0044542,1,0.032,-2.4,0,-1.968
0.0057435,0,0.04787,-0.0046548,1,0.036,-2.4,0,-1.964
0.0061879,-3.7987e-22,0.049885,-0.0048554,1,0.04,-2.4,0,-1.96
0.0066324,-5.3468e-23,0.051901,-0.0050561,1,0.044,-2.4,0,-1.956
0.0070769,3.4054e-22,0.053916,-0.0052567,1,0.048,-2.4,0,-1.952
0.0075213,1.4135e-37,0.055931,-0.0054573,1,0.052,-2.4,0,-1.948
0.0079658,1.5221e-37,0.057947,-0.0056579,1,0.056,-2.4,0,-1.944
0.0084103,3.2615e-37,0.059962,-0.0058585,1,0.06,-2.4,0,-1.94
0.0088547,0,0.061978,-0.0060592,1,0.064,-2.4,0,-1.936
0.0092992,0,0.063993,-0.0062598,1,0.068,-2.4,0,-1.932
0.0097437,-1.5653e-36,0.066009,-0.0064604,1,0.072,-2.4,0,-1.928
0.010188,0,0.068024,-0.006661,1,0.076,-2.4,0,-1.924
0.010633,0,0.07004,-0.0068616,1,0.08,-2.4,0,-1.92
0.011077,-9.1298e-37,0.072055,-0.0070623,1,0.084,-2.4,0,-1.916
0.011522,9.5643e-37,0.074071,-0.0072629,1,0.088,-2.4,0,-1.912
0.012135,1.179e-35,0.074889,-0.0073317,1,0.092,-2.4,0,-1.908
0.012819,4.0055e-36,0.075212,-0.0073459,1,0.096,-2.4,0,-1.904
0.013503,0,0.075534,-0.0073602,1,0.1,-2.4,0,-1.9
0.014187,0,0.075857,-0.0073744,1,0.104,-2.4,0,-1.896
0.014871,4.2321e-36,0.07618,-0.0073886,1,0.108,-2.4,0,-1.892
0.015555,-4.3076e-36,0.076502,-0.0074029,1,0.112,-2.4,0,-1.888
0.016239,0,0.076825,-0.0074171,1,0.116,-2.4,0,-1.884
0.016923,-2.2293e-36,0.077148,-0.0074314,1,0.12,-2.4,0,-1.88
0.017606,-1.1335e-36,0.07747,-0.0074456,1,0.124,-2.4,0,-1.876
0.01829,-6.6727e-21,0.077793,-0.0074599,1,0.128,-2.4,0,-1.872
0.018974,-3.2454e-21,0.078116,-0.0074741,1,0.132,-2.4,0,-1.868
0.019658,3.3304e-22,0.078439,-0.0074883,1,0.136,-2.4,0,-1.864
0.020342,4.0643e-21,0.078761,-0.0075026,1,0.14,-2.4,0,-1.86
0.021026,1.2279e-36,0.079084,-0.0075168,1,0.144,-2.4,0,-1.856
0.02171,-2.4937e-36,0.079407,-0.0075311,1,0.148,-2.4,0,-1.852
0.022394,0,0.079729,-0.0075453,1,0.152,-2.4,0,-1.848
0.023078,5.1384e-36,0.080052,-0.0075596,1,0.156,-2.4,0,-1.844
0.023762,-1.0428e-35,0.080375,-0.0075738,1,0.16,-2.4,0,-1.84
0.024445,5.2894e-36,0.080698,-0.0075881,1,0.164,-2.4,0,-1.836
0.025129,0,0.08102,-0.0076023,1,0.168,-2.4,0,-1.832
0.025813,0,0.081343,-0.0076166,1,0.172,-2.4,0,-1.828
0.026497,0,0.081666,-0.0076308,1,0.176,-2.4,0,-1.824
0.027121,0,0.081641,-0.0076081,1,0.18,-2.4,0,-1.82
0.027662,-5.6165e-36,0.081134,-0.0075343,1,0.184,-2.4,0,-1.816
0.028204,1.6969e-35,0.080627,-0.0074605,1,0.188,-2.4,0,-1.812
0.028745,0,0.08012,-0.0073866,1,0.192,-2.4,0,-1.808
0.029286,5.7362e-36,0.079614,-0.0073128,1,0.196,-2.4,0,-1.804
0.029827,0,0.079107,-0.0072389,1,0.2,-2.4,0,-1.8
0.030369,0,0.0786,-0.0071651,1,0.204,-2.4,0,-1.796
0.03091,-2.928e-36,0.078093,-0.0070913,1,0.208,-2.4,0,-1.792
0.031451,0,0.077586,-0.0070174,1,0.212,-2.4,0,-1.788
0.031992,-1.1685e-20,0.07708,-0.0069436,1,0.216,-2.4,0,-1.784
0.032533,-6.3045e-21,0.076573,-0.0068697,1,0.22,-2.4,0,-1.78
0.033075,-7.4886e-22,0.076066,-0.0067959,1,0.224,-2.4,0,-1.776
0.033616,4.9851e-21,0.075559,-0.0067221,1,0.228,-2.4,0,-1.772
0.034157,1.0899e-20,0.075052,-0.0066482,1,0.232,-2.4,0,-1.768
0.034698,0,0.074546,-0.0065744,1,0.236,-2.4,0,-1.764
0.03524,0,0.074039,-0.0065005,1,0.24,-2.4,0,-1.76
0.035781,0,0.073532,-0.0064267,1,0.244,-2.4,0,-1.756
0.036322,1.251e-35,0.073025,-0.0063528,1,0.248,-2.4,0,-1.752
0.036863,-1.8885e-35,0.072518,-0.006279,1,0.252,-2.4,0,-1.748
0.037405,0,0.072011,-0.0062051,1,0.256,-2.4,0,-1.744
0.037946,1.275e-35,0.071505,-0.0061313,1,0.26,-2.4,0,-1.74
0.038487,0,0.070998,-0.0060574,1,0.264,-2.4,0,-1.736
0.039015,-1.2915e-35,0.070552,-0.0059944,1,0.268,-2.4,0,-1.732
0.039457,1.3037e-35,0.070499,-0.0060004,1,0.272,-2.4,0,-1.728
0.0399,-1.316e-35,0.070445,-0.0060063,1,0.276,-2.4,0,-1.724
0.040342,-1.3282e-35,0.070391,-0.0060123,1,0.28,-2.4,0,-1.72
0.040784,0,0.070338,-0.0060183,1,0.284,-2.4,0,-1.716
0.041226,1.3527e-35,0.070284,-0.0060243,1,0.288,-2.4,0,-1.712
0.041669,-6.8246e-36,0.07023,-0.0060303,1,0.292,-2.4,0,-1.708
0.042111,0,0.070177,-0.0060363,1,0.296,-2.4,0,-1.704
0.042553,-3.2834e-20,0.070123,-0.0060422,1,0.3,-2.4,0,-1.7
0.042996,-2.4479e-20,0.070069,-0.0060482,1,0.304,-2.4,0,-1.696
0.043438,-1.569e-20,0.070016,-0.0060542,1,0.308,-2.4,0,-1.692
0.04388,-6.4646e-21,0.069962,-0.0060602,1,0.312,-2.4,0,-1.688
0.044322,3.2084e-21,0.069908,-0.0060662,1,0.316,-2.4,0,-1.684
0.044765,1.3337e-20,0.069855,-0.0060721,1,0.32,-2.4,0,-1.68
0.045207,2.3925e-20,0.069801,-0.0060781,1,0.324,-2.4,0,-1.676
0.045649,-7.3752e-36,0.069747,-0.0060841,1,0.328,-2.4,0,-1.672
0.046092,0,0.069693,-0.0060901,1,0.332,-2.4,0,-1.668
0.046534,0,0.06964,-0.0060961,1,0.336,-2.4,0,-1.664
0.046976,1.5118e-35,0.069586,-0.006102,1,0.34,-2.4,0,-1.66
0.047419,0,0.069532,-0.006108,1,0.344,-2.4,0,-1.656
0.047861,1.5362e-35,0.069479,-0.006114,1,0.348,-2.4,0,-1.652
0.048303,3.0969e-35,0.069425,-0.00612,1,0.352,-2.4,0,-1.648
0.048746,1.5607e-35,0.069371,-0.006126,1,0.356,-2.4,0,-1.644
0.04919,-1.5748e-35,0.069455,-0.0061541,1,0.36,-2.4,0,-1.64
0.049634,-1.5892e-35,0.069562,-0.006186,1,0.364,-2.4,0,-1.636
0.050078,-1.6036e-35,0.069668,-0.006218,1,0.368,-2.4,0,-1.632
0.050522,-1.618e-35,0.069775,-0.0062499,1,0.372,-2.4,0,-1.628
0.050967,1.6324e-35,0.069882,-0.0062818,1,0.376,-2.4,0,-1.624
0.051411,0,0.069989,-0.0063137,1,0.38,-2.4,0,-1.62
0.051855,-8.3061e-36,0.070095,-0.0063456,1,0.384,-2.4,0,-1.616
0.0523,-5.2052e-20,0.070202,-0.0063776,1,0.388,-2.4,0,-1.612
0.052744,-4.1564e-20,0.070309,-0.0064095,1,0.392,-2.4,0,-1.608
0.053188,-3.0266e-20,0.070416,-0.0064414,1,0.396,-2.4,0,-1.604
0.053633,-1.814e-20,0.070522,-0.0064733,1,0.4,-2.4,0,-1.6
0.054077,-5.174e-21,0.070629,-0.0065053,1,0.404,-2.4,0,-1.596
0.054521,8.6518e-21,0.070736,-0.0065372,1,0.408,-2.4,0,-1.592
0.054965,2.3354e-20,0.070843,-0.0065691,1,0.412,-2.4,0,-1.588
0.05541,3.8948e-20,0.070949,-0.0066011,1,0.416,-2.4,0,-1.584
0.055854,5.5452e-20,0.071056,-0.006633,1,0.42,-2.4,0,-1.58
0.056298,-9.0263e-36,0.071163,-0.0066649,1,0.424,-2.4,0,-1.576
0.056743,-1.8197e-35,0.07127,-0.0066968,1,0.428,-2.4,0,-1.572
0.057187,1.8341e-35,0.071376,-0.0067288,1,0.432,-2.4,0,-1.568
0.057631,5.5454e-35,0.071483,-0.0067607,1,0.436,-2.4,0,-1.564
0.058076,0,0.07159,-0.0067926,1,0.44,-2.4,0,-1.56
0.05852,3.7546e-35,0.071697,-0.0068245,1,0.444,-2.4,0,-1.556
0.058962,1.8917e-35,0.071755,-0.0068488,1,0.448,-2.4,0,-1.552
0.059403,-1.906e-35,0.071778,-0.0068675,1,0.452,-2.4,0,-1.548
0.059845,0,0.071802,-0.0068861,1,0.456,-2.4,0,-1.544
0.060286,0,0.071825,-0.0069048,1,0.46,-2.4,0,-1.54
0.060727,-9.4426e-20,0.071848,-0.0069234,1,0.464,-2.4,0,-1.536
0.061168,-8.7632e-20,0.071871,-0.0069421,1,0.468,-2.4,0,-1.532
0.061609,-7.9676e-20,0.071894,-0.0069608,1,0.472,-2.4,0,-1.528
0.06205,-7.0538e-20,0.071917,-0.0069794,1,0.476,-2.4,0,-1.524
0.062491,-6.0194e-20,0.071941,-0.0069981,1,0.48,-2.4,0,-1.52
0.062932,-4.8621e-20,0.071964,-0.0070167,1,0.484,-2.4,0,-1.516
0.063373,-3.5798e-20,0.071987,-0.0070354,1,0.488,-2.4,0,-1.512
0.063815,-2.1701e-20,0.07201,-0.007054,1,0.492,-2.4,0,-1.508
0.064256,-6.3072e-21,0.072033,-0.0070727,1,0.496,-2.4,0,-1.504
0.064697,1.0406e-20,0.072056,-0.0070914,1,0.5,-2.4,0,-1.5
0.065138,2.8458e-20,0.07208,-0.00711,1,0.504,-2.4,0,-1.496
0.065579,4.7875e-20,0.072103,-0.0071287,1,0.508,-2.4,0,-1.492
0.06602,6.8676e-20,0.072126,-0.0071473,1,0.512,-2.4,0,-1.488
0.066461,9.0889e-20,0.072149,-0.007166,1,0.516,-2.4,0,-1.484
0.066902,1.1453e-19,0.072172,-0.0071847,1,0.52,-2.4,0,-1.48
0.067344,1.3963e-19,0.072195,-0.0072033,1,0.524,-2.4,0,-1.476
0.067785,1.662e-19,0.072219,-0.007222,1,0.528,-2.4,0,-1.472
