# Residuals   
# Time        	Ux            	Uy            	Uz            	p             
0             	N/A	N/A
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	1.090405e-01	2.402347e-01	2.461719e-01	1.156316e-02
3             	3.307701e-01	3.233866e-01	3.062991e-01	5.789279e-05
4             	2.341022e-01	2.042978e-01	2.063967e-01	4.376881e-05
5             	7.819111e-02	1.278022e-01	1.225101e-01	1.496768e-04
6             	1.419159e-01	1.321123e-01	1.183798e-01	1.209355e-04
7             	1.365480e-01	1.355530e-01	1.308033e-01	9.107201e-05
8             	7.609949e-02	1.048472e-01	1.074079e-01	2.205937e-04
9             	9.973000e-02	9.819982e-02	9.555494e-02	1.562223e-04
10            	7.853208e-02	9.181372e-02	9.030193e-02	9.786835e-05
11            	5.368454e-02	7.832144e-02	7.960493e-02	1.739858e-04
12            	5.376299e-02	7.436349e-02	7.121574e-02	8.345235e-04
13            	4.568548e-02	6.827243e-02	6.480926e-02	2.437165e-04
14            	4.306809e-02	6.485473e-02	6.382009e-02	5.157170e-04
15            	4.057112e-02	6.657387e-02	6.625049e-02	3.707459e-04
16            	3.650808e-02	6.678139e-02	6.658193e-02	1.878612e-04
17            	3.683641e-02	6.421649e-02	6.412589e-02	2.361482e-04
18            	3.421724e-02	6.083946e-02	5.965186e-02	5.523765e-04
19            	3.222288e-02	6.177382e-02	5.997678e-02	5.040355e-03
20            	3.191743e-02	6.522325e-02	6.399529e-02	3.781841e-03
21            	2.984372e-02	6.654451e-02	6.450062e-02	8.758688e-04
22            	2.999021e-02	6.544216e-02	6.212119e-02	5.768295e-04
23            	3.162095e-02	6.489764e-02	6.089337e-02	5.179670e-04
24            	3.021206e-02	6.580910e-02	6.186053e-02	5.920486e-04
25            	2.931202e-02	6.917220e-02	6.514628e-02	7.606203e-04
26            	2.925442e-02	7.169810e-02	6.807646e-02	9.039047e-04
27            	2.944113e-02	7.218828e-02	6.825630e-02	8.216988e-04
28            	3.002321e-02	7.173955e-02	6.720461e-02	6.835710e-04
29            	3.008083e-02	7.273425e-02	6.814802e-02	5.690146e-04
30            	2.942248e-02	7.487868e-02	7.116231e-02	5.291741e-04
31            	2.868217e-02	7.659053e-02	7.370909e-02	6.078411e-04
32            	2.861781e-02	7.687122e-02	7.416447e-02	6.936383e-04
33            	2.890701e-02	7.630018e-02	7.369057e-02	7.367763e-04
34            	2.881086e-02	7.606164e-02	7.364907e-02	7.482054e-04
35            	2.829538e-02	7.667612e-02	7.408067e-02	7.511464e-04
36            	2.768629e-02	7.746622e-02	7.467729e-02	7.340939e-04
37            	2.745184e-02	7.809130e-02	7.465029e-02	6.708037e-04
38            	2.754574e-02	7.795985e-02	7.341150e-02	6.675777e-04
39            	2.745470e-02	7.796953e-02	7.288661e-02	6.757976e-04
40            	2.707109e-02	7.829803e-02	7.330805e-02	6.762082e-04
41            	2.656922e-02	7.876164e-02	7.423922e-02	6.787480e-04
42            	2.618945e-02	7.905010e-02	7.467049e-02	6.961854e-04
43            	2.603178e-02	7.926685e-02	7.437342e-02	7.003553e-04
44            	2.576251e-02	7.933749e-02	7.416157e-02	6.647040e-04
45            	2.551634e-02	7.976729e-02	7.402207e-02	6.922111e-04
46            	2.517841e-02	8.052442e-02	7.450906e-02	6.621849e-04
47            	2.505893e-02	8.154755e-02	7.505118e-02	6.624566e-04
48            	2.497925e-02	8.250257e-02	7.528576e-02	6.573675e-04
49            	2.498357e-02	8.357475e-02	7.593928e-02	6.475388e-04
50            	2.497193e-02	8.514664e-02	7.682714e-02	6.297593e-04
51            	2.493587e-02	8.728785e-02	7.841399e-02	6.139620e-04
52            	2.483081e-02	9.010526e-02	8.020760e-02	5.879580e-04
53            	2.483111e-02	9.287404e-02	8.169181e-02	5.662587e-04
54            	2.492036e-02	9.498579e-02	8.263763e-02	5.411333e-04
55            	2.491367e-02	9.630602e-02	8.309734e-02	5.294431e-04
56            	2.474419e-02	9.655309e-02	8.327993e-02	5.217386e-04
57            	2.449040e-02	9.617246e-02	8.304239e-02	5.102583e-04
58            	2.417801e-02	9.550220e-02	8.240644e-02	4.962255e-04
59            	2.381798e-02	9.494204e-02	8.144532e-02	4.783594e-04
60            	2.338941e-02	9.441320e-02	8.071691e-02	4.729995e-04
61            	2.278169e-02	9.422320e-02	8.013054e-02	4.621538e-04
62            	2.205687e-02	9.443208e-02	7.961146e-02	4.441658e-04
63            	2.137702e-02	9.412934e-02	7.888702e-02	4.185182e-04
64            	2.082720e-02	9.396266e-02	7.779840e-02	3.892279e-04
65            	2.029259e-02	9.409827e-02	7.655841e-02	3.599219e-04
66            	1.976114e-02	9.463523e-02	7.563168e-02	3.346426e-04
67            	1.916502e-02	9.465648e-02	7.466202e-02	3.085456e-04
68            	1.859183e-02	9.379443e-02	7.357743e-02	2.880023e-04
69            	1.808143e-02	9.189340e-02	7.159057e-02	2.682693e-04
