# y+ ()       
# Time        	patch         	min           	max           	average       
0             	nozzle_int	0.000000e+00	0.000000e+00	0.000000e+00
0             	nozzle_ext	0.000000e+00	0.000000e+00	0.000000e+00
0             	collector_int	0.000000e+00	0.000000e+00	0.000000e+00
0             	collector_ext	0.000000e+00	0.000000e+00	0.000000e+00
0             	diffuser_int	0.000000e+00	0.000000e+00	0.000000e+00
0             	diffuser_ext	0.000000e+00	0.000000e+00	0.000000e+00
10            	nozzle_int	3.740945e-01	1.639163e+03	4.494329e+01
10            	nozzle_ext	8.100361e-04	1.604700e+02	3.558678e+00
10            	collector_int	2.560774e+00	7.149516e+02	1.185183e+02
10            	collector_ext	1.174244e-01	8.295034e+01	9.247064e+00
10            	diffuser_int	8.879641e+00	5.693037e+02	2.008717e+02
10            	diffuser_ext	3.212063e-03	7.784364e+01	3.339970e+00
20            	nozzle_int	3.678610e-01	1.455184e+03	3.818086e+01
20            	nozzle_ext	9.194381e-03	1.334889e+02	2.480531e+00
20            	collector_int	5.861096e+00	5.682545e+02	1.024696e+02
20            	collector_ext	8.443174e-02	7.322749e+01	9.340513e+00
20            	diffuser_int	5.186953e+00	6.621874e+02	1.189292e+02
20            	diffuser_ext	3.122615e-02	8.005913e+01	3.521658e+00
30            	nozzle_int	2.758973e-01	1.214549e+03	3.300416e+01
30            	nozzle_ext	1.769056e-02	1.111321e+02	2.237150e+00
30            	collector_int	3.458139e+00	7.613419e+02	1.573354e+02
30            	collector_ext	7.695424e-02	8.321552e+01	8.845698e+00
30            	diffuser_int	1.622237e+00	5.005973e+02	9.719036e+01
30            	diffuser_ext	2.272600e-02	8.170787e+01	5.974415e+00
40            	nozzle_int	1.936238e-01	9.883039e+02	3.093564e+01
40            	nozzle_ext	6.212351e-03	1.016025e+02	2.062663e+00
40            	collector_int	3.932407e+00	9.012706e+02	1.436528e+02
40            	collector_ext	1.326740e-01	8.086075e+01	1.023160e+01
40            	diffuser_int	7.822612e+00	5.281004e+02	1.088028e+02
40            	diffuser_ext	2.679321e-02	6.916158e+01	6.353122e+00
50            	nozzle_int	1.856943e-01	9.209017e+02	3.043660e+01
50            	nozzle_ext	3.329264e-03	9.977264e+01	2.008313e+00
50            	collector_int	4.193948e+00	8.821424e+02	1.494071e+02
50            	collector_ext	2.763311e-02	8.400908e+01	1.038172e+01
50            	diffuser_int	8.011808e+00	5.370323e+02	1.154172e+02
50            	diffuser_ext	3.280345e-02	7.310325e+01	7.238249e+00
60            	nozzle_int	1.446817e-01	9.000754e+02	3.041039e+01
60            	nozzle_ext	6.682325e-03	9.522236e+01	1.996171e+00
60            	collector_int	3.456417e+00	7.920538e+02	1.409901e+02
60            	collector_ext	1.487219e-01	8.009584e+01	1.129285e+01
60            	diffuser_int	3.775412e+00	5.115867e+02	1.189453e+02
60            	diffuser_ext	2.099307e-02	7.258601e+01	7.391848e+00
70            	nozzle_int	1.478766e-01	8.909148e+02	3.044296e+01
70            	nozzle_ext	5.223747e-03	9.410985e+01	2.035300e+00
